FileName,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,Gender
12114_10229_000001.wav,-390.47156,125.77671,-2.722532,15.732138,-24.361284,2.5909052,-10.00884,-8.073283,-23.914106,-12.734292,1.0906578,-14.831158,4.4100056,2.1397696,-1.2643768,-1.58377,2.1990829,-2.866088,-9.75781,-1.7406859,0
12287_12742_000014.wav,-362.04056,86.71562,13.84284,52.509636,8.166277,24.855206,-7.2316904,9.137624,-6.254108,-0.936427,1.6653032,-2.4082644,0.35097104,-5.13253,5.203587,-4.555371,4.006666,-6.909305,-0.7054067,-1.1762851,1
12670_13511_000028.wav,-462.9916,75.26846,14.186732,39.58153,4.013199,5.6447415,-7.9252605,-2.6149755,-7.614534,-4.7695894,-5.987203,-8.450702,-8.098793,-2.8633559,1.0874356,-9.883603,0.36742368,-4.5124025,-3.8785336,-3.9660044,0
11247_10229_000070.wav,-383.84708,95.25088,-14.189325,26.12119,-16.614426,23.255116,-2.154552,-7.2719464,-18.211115,-4.4156084,-9.146056,-1.3889407,5.058601,-3.2527316,3.3367436,-9.952187,6.952052,-9.945712,-6.30043,-1.3751628,0
13063_13511_000047.wav,-438.01135,73.85435,-5.1305842,24.921244,-19.689566,-16.671034,-23.740448,-3.1919081,-17.476793,-5.3822436,-0.2401741,-16.607662,-8.303224,-8.47617,1.1651181,-4.0212226,-0.9351949,1.4714897,0.2101623,-6.0276027,1
4405_3604_000000.wav,-300.6786,122.375175,-22.621704,44.634277,2.3628774,0.9854019,-10.153888,-2.9938104,-14.951463,-2.78343,-1.9526302,-4.566389,8.08586,-7.28735,3.3894405,2.3163748,-0.28343,-5.4718604,-2.5781207,-2.8264961,1
4405_3648_000051.wav,-343.2781,113.50888,-20.18805,44.020306,-4.7101073,4.156437,-18.058891,-5.576573,-14.624112,-2.4080892,2.801293,4.731755,14.220495,-7.5446076,6.5554376,-1.2805213,-5.464686,-3.3238955,-0.19669376,-1.286112,1
12626_10229_000084.wav,-396.12827,122.72809,38.55876,41.99359,-36.395252,15.995898,-14.773104,-7.6511126,-9.984476,-9.858567,-8.896053,-6.5778146,-6.305843,-11.826676,6.064608,-7.0926194,0.4392929,0.42776862,-0.007773849,-11.895683,1
13063_13511_000067.wav,-431.43924,76.154686,-8.309708,37.6707,-29.235468,-8.953989,-28.388502,-8.432186,-27.876299,-9.018953,-1.0676297,-9.037016,-2.799156,-13.86602,5.2579165,-3.8367393,-3.0142179,-1.6131498,1.8946908,-11.468659,1
12626_10229_000026.wav,-349.74753,126.44205,15.181972,49.037823,-11.919339,21.49608,-21.918964,-3.3243825,-5.851518,-1.1323041,-1.1682503,-4.832149,1.774172,-13.478967,3.0052085,-3.1794307,1.2264053,-7.5590982,-3.4965866,-4.144041,1
3050_2941_000069.wav,-393.6728,74.32904,-42.546825,46.470615,-19.567833,7.7520776,-2.0001795,-6.6983514,-3.3566139,-1.1465684,-3.1244373,-12.85342,3.5274568,-1.9844677,-1.9619503,-3.057597,0.3198909,3.0288963,-4.8615484,-4.6303773,0
