FileName,nobs,mean,skew,kurtosis,median,mode,std,low,peak,q25,q75,iqr,Gender
11247_10229_000000.wav,100,500.55,5.071852161609884,30.796859104753807,270.0,270.0,725.7388976071214,10.0,5795.0,218.75,496.25000000000006,277.50000000000006,0
11247_10229_000001.wav,100,363.4,5.102191014995115,34.675973399594916,242.5,20.0,486.54438646438007,5.0,4155.0,195.0,408.75000000000006,213.75000000000006,0
11247_10229_000002.wav,63,340.23809523809524,2.396333924416342,6.873169109484495,240.00000000000003,215.0,219.69211604047186,0.0,1335.0,215.0,420.0,205.0,0
11247_10229_000003.wav,100,564.6,5.284953007727375,32.083266779711515,275.0,200.0,926.2963024864126,5.0,7230.0,200.0,550.0,350.0,0
11247_10229_000004.wav,97,485.63208916664615,4.4568178614191405,23.31145340362032,240.00000000000003,215.0,773.8010701681349,10.0,5745.000000000001,200.0,435.00000000000006,235.00000000000006,0
11247_10229_000005.wav,100,497.6,1.2320264615047805,-0.1128866231706982,272.5,1235.0000000000002,409.6306140903045,160.0,1445.0000000000002,213.75,502.5,288.75,0
11247_10229_000006.wav,100,488.05,5.74439145847549,36.734494774413335,257.5,10.0,903.2186598493189,5.0,7275.000000000001,187.5,441.25,253.75,0
11247_10229_000007.wav,88,455.2359530075784,5.830229803065795,37.4935194118457,225.00000000000003,10.0,842.8954183971115,10.0,6765.0,190.0,435.00000000000006,245.00000000000006,0
11247_10229_000008.wav,97,866.9430522734945,1.790123731858313,1.3639713738471917,255.00000000000003,235.0,1292.2712503068592,5.0,3845.0,215.0,505.0,290.0,0
11247_10229_000009.wav,100,571.0,4.798923957835919,23.754025430759267,265.0,210.00000000000003,1068.457767064286,5.0,6935.0,215.0,455.0,240.0,0
11247_10229_000010.wav,86,597.2093023255813,4.120001680059071,15.777333835959265,220.0,450.00000000000006,1338.3236661070835,5.0,6955.0,176.25,421.25,245.0,0
11247_10229_000011.wav,70,455.4590862598023,5.239753950934236,26.80025940833698,230.0,210.00000000000003,1004.4632188390988,5.0,6357.136038186158,196.25000000000003,318.75,122.49999999999997,0
11247_10229_000012.wav,100,513.45,4.383241571091506,22.652205505561792,277.5,255.00000000000003,625.6295609224361,5.0,4320.0,235.0,486.25,251.25,0
11247_10229_000013.wav,74,391.0862423288304,6.8168840232987975,50.16166756213787,215.0,170.0,819.5802846609539,0.0,6875.0,185.0,280.0,95.0,0
11247_10229_000014.wav,51,508.921568627451,5.307627577211814,31.16017378979774,245.0,200.0,841.0954072188233,5.0,5940.0,200.0,432.5,232.5,0
11247_10229_000015.wav,89,442.541246954244,4.325995158786993,18.932860769574937,230.0,215.0,706.46345700747,5.0,4225.0,205.0,425.0,220.0,0
