FileName,nobs,mean,skew,kurtosis,median,mode,std,low,peak,q25,q75,iqr,Gender,nobs_pitch,mean_pitch,skew_pitch,kurtosis_pitch,median_pitch,mode_pitch,std_pitch,low_pitch,peak_pitch,q25_pitch,q75_pitch,iqr_pitch,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20
11247_10229_000000.wav_0.wav,11,1519.4475524475529,2.681708243145621,5.532669585813858,590.0,375.00000000000006,2676.76316173302,33.92307692307692,9845.0,367.50000000000006,1260.0,892.5,0,297,117.637689405732,0.3889274278022951,-1.500981279929577,0.0,0.0,132.24308400380545,0.0,478.0457203817882,0.0,259.39775107502805,259.39775107502805,-366.56058,90.361374,-9.794593,13.652545,-30.163517,16.379057,3.3875473,-11.473251,-7.6660604,-4.08093,-15.139348,-2.6015577,1.2848595,-4.965261,-0.3332677,-6.0295897,9.620804,-6.1041245,-5.8196383,-5.5057693
11247_10229_000000.wav_1.wav,11,577.3706293706293,1.7973469071759418,2.002985405926524,375.00000000000006,295.0,404.2988961616486,295.0,1665.0,347.5,590.5384615384615,243.03846153846155,0,297,190.1772962352718,-0.8668596522236275,-0.8535431803958553,238.56043994211183,0.0,115.6449013817828,0.0,364.1036907296937,0.0,264.8264976635902,264.8264976635902,-300.25198,115.48174,-55.527897,32.414368,-28.010223,19.367783,-20.689768,-11.898798,-16.300724,0.76421684,-20.667454,-3.124964,1.5456034,-15.713776,0.37007147,-19.460924,11.297233,-8.624901,-1.2537276,-1.5534264
11247_10229_000000.wav_2.wav,11,624.2902097902098,1.2003961012833484,0.4607513206014277,385.0,62.1923076923077,512.291816403782,62.1923076923077,1860.0,277.5,860.0,582.5,0,297,127.36219242369944,0.0603976121179767,-1.4221161094557804,173.6994106348277,0.0,118.70450821909785,0.0,539.2699373534626,0.0,228.58981204019076,228.58981204019076,-365.6782,95.38126,-26.13018,27.622322,-28.34405,23.700583,-9.610654,-7.872322,-15.856703,1.9751005,-8.847651,-3.1311443,3.9146574,-7.3619576,1.9267367,-11.860915,13.225103,-8.076656,-5.465055,-4.3240385
11247_10229_000000.wav_3.wav,11,379.8496503496504,1.3791338452315605,0.3825417530395469,320.0,320.0,139.56105827642804,230.0,680.0,302.5,367.5,65.0,0,297,148.51810667530597,-0.4041617834196553,-1.691906411736953,217.8383052517346,0.0,116.69953124927738,0.0,295.7919281118591,0.0,246.84729494764528,246.84729494764528,-332.55396,116.47445,-42.153534,23.723183,-18.012146,18.87969,-9.772292,-13.4794855,-12.001682,3.178071,-19.734632,-1.2586259,1.0954701,-12.526002,1.8655624,-14.069753,10.367732,-7.4935775,-2.6043885,-6.1854906
11247_10229_000000.wav_4.wav,11,504.55594405594405,0.9005759553715593,-0.7149035369424874,385.0,275.0,257.2664529255038,270.0,990.0,307.5,655.0,347.5,0,297,121.29170743281897,0.0627155931112997,-1.7802962123550772,192.97618448222943,0.0,118.28034084510996,0.0,315.88121806526385,0.0,224.37094643117297,224.37094643117297,-358.05185,101.18357,-19.602026,19.841599,-31.245916,27.103088,-6.538798,-6.9714,-12.255634,2.5652099,-11.887153,-4.823007,3.4726675,-11.160277,2.2249653,-7.888197,11.5568,-7.688073,-4.742636,-2.3102317
11247_10229_000000.wav_5.wav,11,910.0314685314686,2.4534581861605544,4.554056699378615,340.0,340.0,1519.0074888431018,15.000000000000002,5490.0,272.5,410.1730769230769,137.6730769230769,0,297,142.66672102397897,-0.1276085163013726,-1.7522192086587034,194.3483969607059,0.0,125.81732415221823,0.0,347.88379555664574,0.0,250.71225934057608,250.71225934057608,-342.43396,73.18457,-31.470032,39.18617,-31.673746,33.49553,-6.934747,-9.516753,-13.71833,-0.32104644,-17.105236,-9.951108,6.6508713,-11.176648,2.5993195,-7.2493305,10.02906,-10.98298,-6.4957414,-2.4828029
11247_10229_000000.wav_6.wav,8,782.6161504424779,0.2533908744364888,-1.2395361444716362,682.5,285.0,363.1086747820323,285.0,1365.929203539823,558.75,1080.0,521.25,0,197,195.80431257248344,-1.4922703431821065,0.6164284846279564,223.89991589131864,0.0,92.28162442821116,0.0,295.8818882959363,204.7719412668256,253.93194319609808,49.16000192927245,-326.62595,110.24679,-29.730808,32.87828,-30.902397,20.137453,-6.66914,-11.122841,-20.352676,-0.7751908,-19.3493,-10.640645,1.9897666,-13.291188,2.6224465,-15.115515,11.089613,-4.778286,-8.499406,-2.7505932
11247_10229_000001.wav_0.wav,11,382.0174825174825,1.8459672275483483,3.0286689917751533,310.0,240.00000000000003,252.79473467926303,62.1923076923077,1095.0,267.5,370.0,102.5,0,297,116.30535238411224,0.0314175491471067,-1.851176484713916,170.0316530308696,0.0,113.63596898055512,0.0,290.5690340923323,0.0,218.0284627227907,218.0284627227907,-442.52164,89.441505,-9.382088,31.154282,-25.534964,30.06029,-3.8763947,-1.887837,-19.65491,-7.564421,-7.9822416,-2.9957383,2.384071,-3.978827,7.691921,-11.791504,7.5491757,-4.732803,-7.024073,-6.5531244
11247_10229_000001.wav_1.wav,11,1250.2972027972028,2.804212429066696,5.95720321316961,395.0,28.26923076923077,2616.272506324785,28.26923076923077,9490.0,305.0,655.0,350.0,0,297,161.17372145766203,-0.586916726657974,-1.3979394271453456,226.3729669976158,0.0,111.54910747253255,0.0,304.68772293346177,0.0,239.44310456899169,239.44310456899169,-418.31616,88.62122,-8.939106,41.83583,-21.138008,23.423378,-7.9823675,-11.500072,-23.67873,-2.6504943,-6.348116,-2.5367417,0.50241643,-4.106259,6.1376143,-16.264349,9.388419,-5.828927,-7.9901075,-2.37966
11247_10229_000001.wav_2.wav,11,485.77972027972027,1.4814901863278498,2.1562318224640205,410.0,5.0,402.0088489102958,5.0,1570.0000000000002,285.0,605.0,320.0,0,297,141.25610239052696,-0.2920274272234048,-1.6552165791818272,207.9869209004503,0.0,115.7202378627741,0.0,353.04541495693934,0.0,227.53131048429756,227.53131048429756,-418.9387,100.0395,-15.688208,32.796753,-21.30456,20.108742,-1.4607728,-14.082613,-21.004543,-6.7406335,-9.794493,-0.73891145,-1.9714942,-4.7925262,5.1154165,-13.521537,4.8046446,-3.5788147,-3.544156,-1.77426
