FileName,nobs_pitch,mean_pitch,skew_pitch,kurtosis_pitch,median_pitch,mode_pitch,std_pitch,low_pitch,peak_pitch,q25_pitch,q75_pitch,iqr_pitch,Gender,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20
common_voice_pt_19564750.wav,450,32.03518290704288,0.9720124982481388,-0.9813520690274258,0.0,0.0,50.39606774949454,0.0,128.64834513351002,0.0,96.04305422192492,96.04305422192492,1,-414.16638,55.246174,-20.12191,36.46638,-10.900842,-0.0888074,-3.1560688,-8.951297,-4.984844,-5.1175795,-5.1472764,-4.790264,-3.148048,-11.349298,1.7896622,-2.6269894,-4.031354,2.3800712,-3.2478635,0.12670468
common_voice_pt_19547806.wav,354,39.35099804737072,1.1247567926297684,-0.3487301908585953,0.0,0.0,62.42356659649334,0.0,196.9074090841333,0.0,103.7181248337038,103.7181248337038,1,-386.30283,62.420654,-28.70708,30.205992,-17.89471,4.191047,-1.8862544,-7.047765,-11.537894,-6.8410306,-0.79112834,-1.6428437,-1.085989,-8.547772,3.9408708,-1.8304842,-5.1799254,-6.208061,-0.13884161,-3.1913052
common_voice_pt_21663026.wav,503,70.91331602173001,0.7937291459896143,0.4382924497950449,0.0,0.0,83.49151184504635,0.0,427.4542211921679,0.0,143.8448531696054,143.8448531696054,1,-283.15268,119.7147,0.4098519,41.671455,19.685114,7.944802,13.482348,-3.985861,-8.383801,-6.3544087,-8.219569,0.36678421,1.6848733,-0.7712925,2.3228848,3.2965796,5.2839394,7.0833087,-1.0812813,0.14000326
common_voice_pt_19435786.wav,431,44.16980298047841,0.5604945429384103,-1.6494786770295646,0.0,0.0,57.7447066438889,0.0,141.7898968997448,0.0,116.45286682904668,116.45286682904668,1,-362.032,75.147354,-36.256687,30.055656,-21.18122,5.7300863,-3.5472405,-10.9233675,-6.6696076,-6.4001102,-5.786549,-2.7147758,-3.263101,-9.414864,6.5544324,-5.9841166,-5.155641,-0.1900113,-1.3890427,-2.6112256
common_voice_pt_20523845.wav,323,31.394417012981783,0.6927239494408091,-1.4922186929210586,0.0,0.0,43.82347829431026,0.0,110.33073005249194,0.0,87.43831718309156,87.43831718309156,1,-331.721,110.25564,-4.31835,1.3201,9.924316,16.974007,0.5004476,-7.0983357,-0.9366718,11.799429,-7.319422,1.4916213,6.339948,-0.048273884,1.6153246,9.65062,4.186641,1.2475655,0.5150579,6.1468334
common_voice_pt_19435564.wav,503,69.69858602702159,-0.1185602005829195,-1.894902506612608,110.8225203121342,0.0,64.20372662917869,0.0,158.35393298219688,0.0,128.72192937811732,128.72192937811732,1,-331.79373,117.47733,0.02572172,19.818716,-21.752337,19.105228,-9.49488,-20.861364,-12.669637,-0.528182,-1.6336272,-9.283023,-4.8633122,-7.575366,2.6035228,-11.480552,-4.9407997,-3.4551115,-3.6597056,2.5550337
common_voice_pt_19377332.wav,299,66.09854374640236,1.8530949976534483,3.2404001072688056,0.0,0.0,112.77483636393538,0.0,501.43707152925367,0.0,156.94793168175107,156.94793168175107,1,-341.90186,87.18087,-26.69932,28.376322,1.699859,-14.398921,-13.556073,-4.827834,-15.869521,-5.3070145,-7.7601156,-11.789967,-7.4791455,-8.03733,3.990229,-9.578186,-9.557408,1.2824628,-4.6767583,-8.824277
common_voice_pt_19893276.wav,599,83.22520282833256,-0.1048649147152155,-1.5988827749049388,125.15674606948902,0.0,72.69967778476335,0.0,226.21066240399816,0.0,137.04346665459622,137.04346665459622,1,-294.26123,107.63517,2.7781143,33.01778,-4.395556,-1.5099345,-34.26822,-12.596652,-4.8172903,-10.733317,-6.0841928,-11.457235,-5.0827994,-12.220193,-0.60025537,-1.950771,-12.455439,1.3153194,-2.5724084,-6.9821343
common_voice_pt_21737593.wav,282,55.60581874434096,1.0447233747089442,-0.7978600872182438,0.0,0.0,89.58633613590281,0.0,243.97267360928703,0.0,165.13672372755525,165.13672372755525,1,-390.1495,44.890858,2.5767567,17.233305,-4.7959647,-5.445381,-1.6935889,-2.5764723,-2.152491,-3.3349733,-8.862039,1.3620622,-1.361838,-1.3592454,-1.305431,-0.14798513,-5.437748,0.8262033,-4.0398207,-2.0115063
common_voice_pt_19442157.wav,438,61.82187005001685,2.538889527943615,9.28705547513611,0.0,0.0,95.06776930139252,0.0,571.8072834683853,0.0,121.48132142937348,121.48132142937348,1,-328.5816,74.33136,-26.29707,33.48643,-21.423178,1.2388096,-6.3886366,-12.901142,-11.126325,-7.275796,1.191389,-10.182537,-4.5327754,-4.0373435,-0.88317823,-2.9580288,-0.99250317,-0.06118227,-4.3153296,-4.604079
