FileName,nobs,mean,skew,kurtosis,median,mode,std,low,peak,q25,q75,iqr,Gender
common_voice_pt_19564750.wav,23,362.39130434782606,4.033082235556985,15.434611107764358,190.0,0.0,817.3031867396704,0.0,4070.0000000000005,0.0,350.0,350.0,1
common_voice_pt_19547806.wav,18,773.6111111111111,2.4090742961620126,3.94905816587512,230.0,0.0,1662.81956457127,0.0,5575.000000000001,0.0,458.75,458.75,1
common_voice_pt_21663026.wav,26,172.8344955327958,0.8293381733570161,-0.6561300871403324,120.00000000000001,90.00000000000001,111.62493380921946,15.000000000000002,415.0,90.00000000000001,267.5,177.5,1
common_voice_pt_19435786.wav,22,783.6363636363636,2.5051840466344517,5.398855413492068,357.5,0.0,1330.222283046728,0.0,5525.000000000001,102.5,498.75000000000006,396.25000000000006,1
common_voice_pt_20523845.wav,17,327.4616730544909,0.6406521640555981,-0.8464461502063103,335.0,50.0,291.28672675045874,45.00000000000001,890.0,55.0,480.00000000000006,425.00000000000006,1
common_voice_pt_19435564.wav,26,559.6153846153846,3.968639212814366,15.491239406592971,265.0,0.0,1046.5262346273569,0.0,5455.000000000001,178.75,383.75,205.0,1
common_voice_pt_19377332.wav,16,609.316037735849,3.3171401101072617,9.771748061143112,412.5,615.0,690.9104094978409,135.0,3220.0,343.75000000000006,615.0,271.24999999999994,1
common_voice_pt_19893276.wav,31,371.76202069385266,-0.22684603815751986,-0.00018717112169674976,380.0,380.0,122.3255126255846,120.00000000000001,655.0,320.0,435.0,115.0,1
common_voice_pt_21737593.wav,15,1016.9041835357624,2.871539417218506,6.997920586299626,200.0,60.00000000000001,2252.7258627586393,53.56275303643724,8880.0,60.00000000000001,505.0,445.0,1
common_voice_pt_19442157.wav,23,851.7391304347826,2.259234097845242,3.408159759974134,280.0,0.0,1572.6864365153162,0.0,5415.0,112.5,485.0,372.5,1
common_voice_pt_22462978.wav,16,294.56214578085644,0.8479503638334305,-0.38149740445441926,241.4971662468514,240.00000000000003,213.74291245438118,55.0,740.0,126.25,412.50000000000006,286.25000000000006,1
common_voice_pt_20523719.wav,20,294.5924220963173,1.142499811159723,-0.06300184313724166,200.0,200.0,288.89668338174386,35.0,890.0,71.25,398.75,327.5,1
common_voice_pt_20405698.wav,32,257.49283822079843,0.37546687649660504,-0.7653854881283189,210.0,60.00000000000001,177.71470955666035,0.0,710.0,63.75,406.25000000000006,342.50000000000006,1
common_voice_pt_22435336.wav,15,195.28160418483,0.9673509497020787,-0.12310232185228909,145.0,15.000000000000002,215.23568331706676,5.0,710.0,15.000000000000002,295.0,280.0,1
common_voice_pt_19455684.wav,22,622.1439203114267,2.5117378103638166,6.015650812339899,375.0,310.0,678.1272867399962,185.0,3140.0000000000005,291.25,485.0,193.75,1
common_voice_pt_19377347.wav,32,511.6702086553323,2.3308343619155094,4.702263933503531,405.00000000000006,405.00000000000006,373.3761486370762,185.0,1740.0000000000002,268.75,613.8350077279753,345.08500772797527,1
common_voice_pt_22400780.wav,15,369.3333333333333,1.392709842898403,1.3313075706829238,225.00000000000003,100.0,329.54446673484836,60.00000000000001,1270.0,100.0,442.50000000000006,342.50000000000006,1
common_voice_pt_22716144.wav,25,499.31639111950875,4.59680372498216,19.448575026286054,210.00000000000003,210.00000000000003,1363.4052130560592,5.0,7135.0,160.0,250.0,90.0,1
common_voice_pt_20078559.wav,22,414.5454545454546,4.090138416028529,15.36599852941928,152.5,120.00000000000001,1009.5981526092778,50.0,4940.000000000001,120.00000000000001,231.25,111.24999999999999,1
common_voice_pt_20496824.wav,12,211.41608691917892,2.406155055185404,4.8488827149774565,127.5,60.00000000000001,259.1836073573302,0.0,1016.9930430301469,63.75,211.25000000000003,147.50000000000003,1
common_voice_pt_20437203.wav,15,598.3792172739542,3.340439513569345,9.497555154946355,280.0,0.0,1265.5797196445785,0.0,5280.000000000001,137.84412955465586,490.0,352.15587044534414,1
